 Date,Time,Message
2026-09-08,11:39:44 GMT,Welcome back! Your messages have been restored. You are using your Demo account.
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9712.55 | SMA3= 9712.413333333332 | Points= 0.09000000000014552 | Strength= 560 | Points2= 0.13999999999941792 | Strength2= 560 | Tick1= 9712.18 Tick2= 9712.32 Tick3= 9712.23 Tick4= 9712.15 Extra= 9712.15 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9712.505000000001 | SMA3= 9712.383333333333 | Points= 0.07999999999992724 | Strength= 560 | Points2= 0.09000000000014552 | Strength2= 560 | Tick1= 9712.32 Tick2= 9712.23 Tick3= 9712.15 Tick4= 9712.12 Extra= 9712.12 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 21.428571428107404 | SMA2= 9712.465 | SMA3= 9712.356666666667 | Points= 0.029999999998835847 | Strength= 560 | Points2= 0.07999999999992724 | Strength2= 560 | Tick1= 9712.23 Tick2= 9712.15 Tick3= 9712.12 Tick4= 9712.23 Extra= 9712.23 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 10 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9712.45 | SMA3= 9712.346666666666 | Points= 0.10999999999876309 | Strength= 560 | Points2= 0.029999999998835847 | Strength2= 560 | Tick1= 9712.15 Tick2= 9712.12 Tick3= 9712.23 Tick4= 9712.31 Extra= 9712.31 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 3 | Score= 20 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 59.9999999998181 | SMA2= 9712.505000000001 | SMA3= 9712.383333333333 | Points= 0.07999999999992724 | Strength= 560 | Points2= 0.10999999999876309 | Strength2= 560 | Tick1= 9712.12 Tick2= 9712.23 Tick3= 9712.31 Tick4= 9712.19 Extra= 9712.19 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 30 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 27.906976744048322 | SMA2= 9712.545 | SMA3= 9712.409999999998 | Points= 0.11999999999898137 | Strength= 560 | Points2= 0.07999999999992724 | Strength2= 560 | Tick1= 9712.23 Tick2= 9712.31 Tick3= 9712.19 Tick4= 9712.5 Extra= 9712.5 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 20 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9712.485 | SMA3= 9712.37 | Points= 0.3099999999994907 | Strength= 560 | Points2= 0.11999999999898137 | Strength2= 560 | Tick1= 9712.31 Tick2= 9712.19 Tick3= 9712.5 Tick4= 9712.89 Extra= 9712.89 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 0 | SMA2= 9712.64 | SMA3= 9712.473333333333 | Points= 0.3899999999994179 | Strength= 560 | Points2= 0.3099999999994907 | Strength2= 560 | Tick1= 9712.19 Tick2= 9712.5 Tick3= 9712.89 Tick4= 9713.11 Extra= 9713.11 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 54.16666666655613 | SMA2= 9712.835 | SMA3= 9712.603333333333 | Points= 0.22000000000116415 | Strength= 560 | Points2= 0.3899999999994179 | Strength2= 560 | Tick1= 9712.5 Tick2= 9712.89 Tick3= 9713.11 Tick4= 9712.85 Extra= 9712.85 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 50 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
2026-09-08,10:58:48 GMT,[SCALPER V3] Direction= 0 | RSI= 100 | SMA2= 9712.945 | SMA3= 9712.676666666666 | Points= 0.2600000000002183 | Strength= 560 | Points2= 0.22000000000116415 | Strength2= 560 | Tick1= 9712.89 Tick2= 9713.11 Tick3= 9712.85 Tick4= 9712.75 Extra= 9712.75 | LossLevel= 0 | LossCount= 0 | Stake= 10 | Regime= 2 | Score= 40 | Reconfirm= 1 | Guard= false | Reason= BLOCK: QUALITY
